ID,GLON,GLAT,r,Bubble,Classic/bubble rim,Classic/inside bubble,Filament/ISM morphology,Classic/on filament,Pillar/Point Source,Point source Plus,Faint fuzzy,Classic/faint fuzzy,Classic YB,Unsure,Notes
1329,32.92758727,0.605645977,0.002372842,,,,,,,,,,X,,
1330,32.94489455,-0.376904022,0.006558219,,,,,,,X,,,,,"Large source, not uniform"
1331,32.95934962,0.126671011,0.003997309,,,,,,,X,,,,,Crescent shape in cloud
1332,32.96237049,-0.33954263,0.002151278,,,,,,,,,,X,,Clear halo around source
1333,32.99047789,0.039122175,0.004439866,,,,,,,,X,,,,"Faint in green wavelength, might be point source plus"
1334,33.01988241,-0.358036796,0.003929582,X,,,,,,X,,,,,"Faint source, looks like on rim"
1335,33.02330848,-0.365203278,0.002583789,,,,,,,,,,X,,
1336,33.04832427,0.076767789,0.004176444,,,,,,,,,,X,,
1337,33.06876725,-0.197558968,0.00275504,X,,,,,,,,X,,,
1338,33.1103629,-0.094027653,0.003247347,,,,,,,X,,,,,
1339,33.13301905,-0.09274251,0.003273751,,,,,,,,,,X,,
1340,33.14259378,-0.086817251,0.004245493,,,,,,,,,,X,,
1341,33.20258294,-0.009753983,0.004108691,,,,,,,X,,,,,
1342,33.20780924,-0.013422492,0.004359572,,,,X,,,,,,,,Looks like the region is becoming a bubble
1343,33.26324457,0.065896239,0.003757355,,,,,,,,,X,,,
1344,33.28946204,-0.01904508,0.00457725,,,X,,,,X,,,,,
1345,33.29842175,-0.338348731,0.003664708,,X,,,,,,,,,,"Faint, very circular"
1346,33.30247493,0.094272322,0.003239407,,,,,,,,,,X,,
1347,33.31360806,-0.271657146,0.003723256,,,X,,,,X,,,,,"Inside bubble, slightly faint"
1348,33.3305919,0.163672044,0.00294415,,,,,,,X,,,,,
1349,33.33686398,0.165470433,0.001702707,,,,,,,,,,X,,
1350,33.39185279,-0.012650425,0.002955239,,,,,,,,,,X,,
1351,33.40433828,0.373447629,0.002512257,,,,,X,,,,,,,
1352,33.417426,0.036831807,0.003196261,,,,,,,,X,,,,
1353,33.41770227,-0.003988034,0.004062023,,X,,,,,,,,,,Small bubble on edge of large bubble 
1354,33.42551162,-0.012803771,0.003893843,,,X,,,,,,,,,
1355,33.47019198,-0.086558903,0.002490478,,,X,,,,,,,,,
1356,33.47897659,-0.116917155,0.002779463,,,,,X,,,,,,,
1357,33.48254203,-0.209991282,0.002718491,,,,,X,,,,,,,
1358,33.48872632,0.152181224,0.002000594,,,,,,,,,,X,,
1359,33.49185752,0.158740845,0.004258809,X,,X,,,,,,,,,
1360,33.49647418,-0.013199475,0.004264346,,,,,,,,,,X,,
1361,33.51814962,-0.056726208,0.002279287,,,,,,,,,,X,,
1362,33.51890443,0.149935141,0.003005541,X,,,,,,,,,,,
1363,33.53008704,-0.118568978,0.001713153,,,,,,,,X,,,,
1364,33.53422353,-0.109334218,0.002675175,,,,,X,,X,,,,,
1365,33.55462905,-0.162906918,0.004642428,,,,,X,,X,,,,,
