ID,GLON,GLAT,r
72,3.245422582,-0.089460781,0.002144813
73,3.24948384,-0.08490331,0.001684533
74,3.315251639,-0.41699331,0.003389407
75,3.349619341,-0.078058481,0.004613673
76,3.393429587,0.879851488,0.00446758
77,3.395180016,0.89407371,0.002935797
78,3.554929253,-0.808051912,0.003456417
79,3.555624765,-0.798866599,0.002550722
80,3.564975768,0.173661713,0.001997355
81,3.579924515,-0.227534776,0.002200066
82,3.644235525,-0.21682119,0.00199652
83,3.649007952,0.088001115,0.002251294
84,3.649621177,-0.126232518,0.001636416
85,3.660843944,-0.113249653,0.003570458
86,3.689552727,-0.27045263,0.003472455
87,3.720380205,0.01508827,0.003179962
88,3.741250307,0.022807223,0.002514153
89,3.765597406,0.039270823,0.00287265
90,3.830031796,-0.138432824,0.003327251
91,3.91197972,-0.000527707,0.002708202
92,3.92713793,-0.116284552,0.003964897
93,3.935777002,-0.003676443,0.001587008
94,3.943835694,0.004602282,0.00211336
95,3.960926782,-0.111714875,0.001619673
96,4.000051471,0.337639313,0.004952313
97,4.014450999,-0.034105823,0.002528332
98,4.144971064,-1.032935219,0.001906537
99,4.166939914,-0.187173142,0.002333018
100,4.195249064,-0.051305843,0.00383752
101,4.201830305,-0.028413637,0.002888198
102,4.2851269,0.03249735,0.00233485
103,4.332963268,-0.195332813,0.003157039
104,4.389266461,-0.358680289,0.003946063
105,4.400519656,-0.332653644,0.002510835
106,4.402762393,-0.358423829,0.004167974
107,4.415523985,0.125639033,0.002771711
108,4.493305264,-0.949898386,0.002211993
109,4.499263932,-0.949862011,0.00205617
110,4.53312522,0.3614807,0.004778722
111,4.564817992,-0.129521848,0.003940951
112,4.610319405,0.179272841,0.002695707
113,4.716393147,-0.011474385,0.001938085
114,4.823156887,-0.074981552,0.001807395
115,4.886872709,0.045221296,0.002107616
116,4.985417289,-1.390043464,0.00174353
117,5.033804599,0.141742885,0.003953904
118,5.037973341,0.143216887,0.00286555
119,5.0482606,-0.194286952,0.00396043
120,5.06016756,-0.274515762,0.002286534
121,5.065884093,-0.043484565,0.00200309
122,5.075599989,-0.093427428,0.002275719
123,5.107032972,-0.107105488,0.002385255
124,5.175448497,0.233764397,0.004165585
125,5.186578979,-0.082574732,0.002961156
126,5.190226579,-0.283771418,0.004144094
127,5.204252754,-0.036484591,0.002311267
128,5.305111102,-0.009479675,0.001992694
129,5.305652796,0.066112394,0.001987082
130,5.310109036,0.070987536,0.002195073
131,5.402021668,-0.271454444,0.004327344
132,5.475547599,-0.244474286,0.003612159
133,5.493276956,-0.103363093,0.002473511
134,5.528547726,0.139237553,0.002642246
135,5.544084716,-0.213412428,0.002409048
136,5.585344251,-0.379394949,0.004537695
137,5.590378474,-0.243614775,0.002859019
138,5.629761883,-0.292747463,0.004892859
139,5.63329979,0.239131249,0.005175507
140,5.706008552,-0.12659597,0.006159852
141,5.836503814,-0.513830094,0.003062772
142,5.841939895,-0.515627908,0.005450366
143,5.855313698,0.355007695,0.004476662
144,5.867890675,0.523250091,0.002893435
145,5.882788179,-0.397958234,0.003868315
146,5.885140712,-0.606357732,0.002234503
147,5.892527991,-0.290668936,0.002943085
148,5.897463646,-0.442152036,0.003738205
149,5.903745541,-0.357690434,0.003620786
150,5.905821677,0.094460989,0.00377203
151,5.931169918,-0.084324707,0.002568404
152,5.944591473,-0.137650249,0.005526861
153,6.044407915,0.316149179,0.003877035
154,6.126476068,-0.629668198,0.001804818
155,6.157553195,-0.070844578,0.003485866
156,6.191131969,-0.363940912,0.003169642
