ID,GLON,GLAT,r
2610,77.18917326,-0.286951541,0.002632368
2611,77.20973938,0.823786872,0.004069818
2612,77.21994137,0.626385037,0.002640148
2613,77.2296226,-0.761938329,0.006841025
2614,77.23473944,1.169032652,0.006089637
2615,77.26173316,1.519985802,0.005067348
2616,77.27151499,1.297184051,0.004818956
2617,77.27380371,-0.576675137,0.004152391
2618,77.284726,0.426373536,0.003798144
2619,77.30847329,2.286242965,0.004648496
2620,77.31163834,-0.453320138,0.004242769
2621,77.31546221,1.613597501,0.00348766
2622,77.35843059,-0.566994701,0.0033146
2623,77.37312851,-0.367689565,0.003063783
2624,77.37996772,-0.911581902,0.002748982
2625,77.38828397,0.228232537,0.003686307
2626,77.39518874,1.592300062,0.006286587
2627,77.43988604,1.716912806,0.006047022
2628,77.44026623,-0.005095032,0.007525697
2629,77.45740032,-0.914408045,0.006772222
2630,77.50180401,1.801593393,0.003832512
2631,77.50216245,1.09896964,0.004923808
2632,77.50494104,2.136568379,0.004749186
2633,77.54102814,1.233882103,0.003040445
2634,77.56558844,1.233450678,0.00740708
2635,77.59306048,1.467260678,0.005382041
2636,77.60617165,0.550483909,0.008292376
2637,77.60806298,0.554993807,0.007527227
2638,77.61017029,-0.438563341,0.004548483
2639,77.6197422,2.423096459,0.00603136
2640,77.62008505,-0.467285636,0.003985297
2641,77.62602106,1.014932465,0.002880748
2642,77.62795631,-0.409303585,0.003076039
2643,77.65817036,-0.981501986,0.003089134
2644,77.69134234,-0.68744625,0.004866726
2645,77.71149319,2.190719576,0.005172265
2646,77.72564174,1.242436467,0.004914022
2647,77.7821929,1.074772877,0.005156704
2648,77.80407943,0.85113851,0.004383119
2649,77.81704828,0.362757337,0.003421144
2650,77.81775123,1.015093653,0.004996463
2651,77.81920085,-1.303300136,0.003306499
2652,77.83910413,0.860342942,0.004462169
2653,77.84207404,2.747110746,0.008176698
2654,77.86353156,1.82776307,0.004001096
2655,77.89764267,1.718744348,0.003500633
2656,77.9113762,1.389429102,0.004676722
2657,77.92007822,1.650484581,0.004466231
2658,77.92124722,1.687370456,0.004877281
2659,77.92943242,1.679678052,0.006807583
2660,77.93540852,0.944681022,0.005234053
2661,77.95485554,0.006031992,0.004133436
2662,77.95768975,2.133042323,0.006203801
2663,77.9627713,-0.008488989,0.004579034
2664,77.9657169,0.411605747,0.003477994
2665,78.00273609,-1.244658106,0.00730251
2666,78.01791023,0.263311077,0.003428311
2667,78.03112925,0.82850692,0.004724446
2668,78.04643267,1.488397863,0.007351652
2669,78.0679126,-0.443552237,0.005814175
2670,78.08403529,1.991810138,0.003796002
2671,78.08485072,2.640830041,0.00414561
2672,78.12190802,1.025792495,0.003278098
2673,78.12777155,1.020671429,0.005514967
2674,78.13187095,1.022786967,0.002732263
2675,78.14604354,1.822490002,0.006058877
2676,78.14691622,1.10412098,0.004766919
2677,78.1530428,0.69297761,0.002816039
2678,78.15716115,1.093267495,0.00365381
2679,78.16201157,-0.552856633,0.006861565
2680,78.19264406,0.217858917,0.004124993
2681,78.19471218,0.549746555,0.008383231
2682,78.19602668,0.226828518,0.002800078
2683,78.20929186,0.889756224,0.002192402
2684,78.21807922,1.206326246,0.003970314
2685,78.22376575,0.739024951,0.006284736
2686,78.23257921,1.548050709,0.003606277
2687,78.23418398,0.088947995,0.004059256
2688,78.23629409,0.242395236,0.006998415
2689,78.25459613,0.248937678,0.004931546
2690,78.26210351,2.413942833,0.004859808
2691,78.27447131,0.07998876,0.00435613
2692,78.27729208,0.043200098,0.00357627
2693,78.28278201,-1.368717264,0.010533242
2694,78.286772,0.352868634,0.004993277
2695,78.29468677,0.373944665,0.00625147
2696,78.29923089,0.452003496,0.005197009
2697,78.32311998,-1.710583321,0.006758083
2698,78.32560877,2.573588775,0.004265806
2699,78.3295426,2.803045148,0.005065316
2700,78.33464597,1.291997661,0.006810818
2701,78.37103716,2.177495349,0.003960649
2702,78.39826084,2.532506935,0.005477324
2703,78.40305563,-0.21519349,0.003313489
2704,78.41280406,2.480576265,0.005027835
2705,78.41364859,0.850415394,0.006825852
2706,78.4333243,1.854213294,0.00736655
2707,78.4362354,2.656291817,0.006885118
2708,78.46109825,1.498996106,0.005459264
2709,78.46935149,-0.181723989,0.008271647
